iter	Passed	Remaining
0	0	72
1	1	59
2	1	53
3	2	49
4	2	48
5	3	47
6	3	46
7	4	46
8	4	45
9	4	44
10	5	44
11	5	43
12	6	42
13	6	42
14	7	41
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	37
24	12	36
25	12	36
26	13	36
27	14	36
28	14	36
29	15	36
30	16	36
31	17	36
32	17	36
33	18	36
34	19	35
35	19	35
36	20	35
37	21	34
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	25	31
44	25	31
45	26	30
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	39	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	42	10
80	43	10
81	43	9
82	44	9
83	44	8
84	45	8
85	45	7
86	46	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
