iter	Passed	Remaining
0	0	941
1	1	879
2	2	840
3	3	766
4	3	714
5	4	677
6	4	650
7	5	631
8	5	616
9	6	603
10	6	620
11	8	674
12	8	663
13	9	651
14	9	640
15	10	631
16	10	622
17	11	615
18	11	608
19	12	602
20	12	597
21	13	592
22	13	589
23	14	601
24	15	601
25	16	601
26	16	599
27	17	602
28	17	599
29	18	594
30	18	590
31	19	586
32	19	583
33	20	580
34	20	576
35	21	573
36	22	581
37	23	587
38	23	584
39	24	581
40	24	578
41	25	575
42	25	572
43	26	570
44	26	567
45	27	565
46	27	563
47	28	562
48	29	565
49	29	567
50	30	568
51	31	570
52	32	573
53	32	571
54	33	569
55	33	567
56	34	565
57	34	562
58	35	560
59	35	559
60	36	558
61	37	564
62	37	563
63	38	561
64	38	559
65	39	557
66	39	555
67	40	553
68	40	551
69	41	550
70	41	548
71	42	546
72	42	545
73	43	543
74	44	548
75	45	549
76	45	547
77	46	545
78	46	543
79	47	542
80	47	540
81	48	538
82	48	534
83	48	532
84	49	531
85	49	529
86	50	528
87	50	527
88	51	531
89	52	532
90	53	531
91	53	530
92	54	528
93	54	527
94	55	526
95	55	524
96	56	523
97	56	522
98	57	520
99	57	519
100	58	518
101	59	523
102	60	523
103	60	522
104	61	521
105	61	520
106	62	519
107	62	517
108	63	516
109	63	516
110	64	516
111	65	515
112	65	514
113	66	514
114	67	516
115	67	515
116	68	515
117	69	518
118	69	518
119	70	517
120	71	516
121	71	514
122	72	513
123	72	513
124	73	512
125	74	513
126	74	513
127	75	512
128	76	513
129	76	513
130	77	511
131	77	511
132	78	510
133	78	509
134	79	508
135	79	507
136	80	505
137	80	504
138	81	506
139	82	506
140	83	506
141	83	505
142	84	504
143	84	504
144	85	503
145	85	502
146	86	501
147	86	500
148	87	499
149	88	498
150	88	500
151	89	499
152	90	499
153	90	499
154	91	498
155	92	498
156	92	497
157	93	496
158	93	495
159	94	494
160	94	492
161	94	491
162	95	489
163	96	491
164	96	490
165	97	490
166	98	491
167	99	490
168	99	490
169	100	489
170	100	488
171	101	487
172	101	487
173	102	486
174	103	485
175	103	486
176	104	486
177	105	486
178	106	487
179	106	486
180	107	485
181	107	484
182	108	483
183	108	482
184	109	481
185	109	481
186	110	481
187	111	482
188	112	481
189	112	481
190	113	481
191	114	480
192	114	479
193	115	478
194	115	477
195	116	476
196	116	475
197	117	474
198	117	474
199	118	474
200	119	474
201	121	478
202	121	478
203	122	477
204	122	476
205	123	475
206	123	474
207	124	473
208	124	472
209	125	472
210	126	472
211	127	472
212	127	472
213	128	471
214	128	470
215	129	469
216	129	468
217	130	467
218	130	466
219	131	465
220	131	464
221	132	464
222	133	464
223	133	464
224	135	467
225	136	466
226	136	465
227	137	464
228	137	463
229	138	462
230	138	461
231	139	460
232	139	459
233	140	460
234	141	459
235	142	461
236	142	460
237	143	459
238	143	458
239	144	457
240	144	456
241	145	455
242	145	454
243	146	453
244	146	452
245	147	452
246	148	452
247	149	452
248	149	452
249	150	451
250	150	450
251	151	449
252	151	448
253	152	447
254	152	446
